title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer III,software engineer iii,Estimated $105K - $133K a year,"Chick-fil-A, Inc.","chick-fil-a, inc.",4,"Atlanta, GA 30349
+6 locations","Atlanta, GA"
Jr. Software Engineer,jr. software engineer,NaN,Pressure washing in Tampa Bay,pressure washing in tampa bay,NaN,"Tampa, FL 33602 
(Downtown area)","Tampa, FL"
Software Full Stack Engineer,software full stack engineer,Estimated $77.7K - $98.4K a year,"Mitsubishi Power Americas, Inc.","mitsubishi power americas, inc.",3.7,"Orlando, FL 32809","Orlando, FL"
Software Research Engineer – Entry Level,software research engineer – entry level,Estimated $70.3K - $89K a year,Apogee Research,apogee research,NaN,"Arlington, VA 22203 
(Ballston-Virginia Square area)
+4 locations","Arlington, VA"
Software Development Associate,software development associate,NaN,University of Texas at Austin,university of texas at austin,4.2,"Austin, TX 78701 
(Downtown area)","Austin, TX"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $81.2K - $103K a year,Copart,copart,2.6,"Dallas, TX","Dallas, TX"
Software Developer,software developer,Estimated $82.5K - $105K a year,Powersoft Systems,powersoft systems,NaN,"Overland Park, KS 66213","Overland Park, KS"
Software Developers,software developers,Estimated $99.2K - $126K a year,Majiq,majiq,NaN,"Redmond, WA","Redmond, WA"
Software Developers – All Levels,software developers – all levels,Estimated $94.6K - $120K a year,MicroAutomation,microautomation,4.7,"Centreville, VA 20120","Centreville, VA"
Software Engineer I/II - Scientific Python Developer,software engineer i/ii - scientific python developer,NaN,University Corporation for Atmospheric Research,university corporation for atmospheric research,3.5,"Remote in Boulder, CO 80305",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $103K - $130K a year,Trex Enterprises Corporation,trex enterprises corporation,2.5,"San Diego, CA 92121 
(Sorrento Valley area)
+1 location","San Diego, CA"
Frontend Engineer,frontend engineer,Estimated $98.2K - $124K a year,FactoryFour,factoryfour,NaN,"Los Angeles, CA","Los Angeles, CA"
Associate Software Engineer,associate software engineer,NaN,HarperRand,harperrand,3.9,"Indianapolis, IN 46220 
(Broad Ripple area)","Indianapolis, IN"
Software Engineer,software engineer,NaN,Jupiter Consulting Services,jupiter consulting services,NaN,"St. Louis, MO","St. Louis, MO"
Software Developers Engineers - 2023 College Graduates,software developers engineers - 2023 college graduates,Estimated $77.8K - $98.5K a year,Westinghouse Electric Company,westinghouse electric company,3.3,"Cranberry Township, PA 16066
+4 locations","Cranberry Township, PA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $88.7K - $112K a year,Par Government Systems Corporation,par government systems corporation,3.5,"Remote in Eastern, AS",remote
AI Software Engineer,ai software engineer,Estimated $104K - $131K a year,Advanced Regenerative Manufacturing Institute Inc,advanced regenerative manufacturing institute inc,NaN,"Manchester, NH 03101","Manchester, NH"
Software Engineer,software engineer,Estimated $79.1K - $100K a year,Chicago Fire FC,chicago fire fc,NaN,"Chicago, IL","Chicago, IL"
Software Engineer - Backend,software engineer - backend,Estimated $135K - $171K a year,Databricks,databricks,3.1,"Bellevue, WA
+8 locations","Bellevue, WA"
Jr. Software Developer,jr. software developer,NaN,Omphalos Lifesciences,omphalos lifesciences,NaN,"Dallas, TX","Dallas, TX"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,Nissan,nissan,3.8,"Silicon Valley, CA","Silicon Valley, CA"
Junior Software Developer,junior software developer,Estimated $61.5K - $77.9K a year,Kiss Products,kiss products,3.1,"Port Washington, NY 11050","Port Washington, NY"
Software Engineer – R&D,software engineer – r&d,NaN,"Sony Pictures Entertainment, Inc.","sony pictures entertainment, inc.",4.1,"Culver City, CA","Culver City, CA"
Software Engineer,software engineer,Estimated $104K - $131K a year,eBibelot,ebibelot,NaN,"San Jose, CA","San Jose, CA"
Python Software Engineer,python software engineer,Estimated $94.9K - $120K a year,"Chick-fil-A, Inc.","chick-fil-a, inc.",4,"Atlanta, GA 30349","Atlanta, GA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Wolfram Mathematica Software Developer,wolfram mathematica software developer,NaN,Sciton Inc.,sciton inc.,3.4,"Palo Alto, CA 94303
+4 locations","Palo Alto, CA"
Software Engineer - Front End,software engineer - front end,Estimated $89.4K - $113K a year,Schweitzer Engineering Laboratories,schweitzer engineering laboratories,3.9,"Pullman, WA","Pullman, WA"
Software Engineer (Remote-US),software engineer (remote-us),NaN,Gnostech,gnostech,4.3,Remote,remote
Software Engineer,software engineer,Estimated $97.7K - $124K a year,LAHITECH,lahitech,NaN,"Sunland, CA 91040","Sunland, CA"
Backend Software Engineer,backend software engineer,NaN,OXIO,oxio,NaN,"Remote in New York, NY
+1 location",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Backend Payments Engineer,backend payments engineer,NaN,Apple,apple,4.1,"Cupertino, CA
+7 locations","Cupertino, CA"
"Co-op, Machine Learning Software Engineer","co-op, machine learning software engineer",Estimated $63.2K - $80K a year,Valeo,valeo,3.8,"San Mateo, CA 94403 
(Bay Meadows area)","San Mateo, CA"
Energy Engineering - Software Engineer/Data Scientist (Fall 2023),energy engineering - software engineer/data scientist (fall 2023),Estimated $84.8K - $107K a year,Tesla,tesla,3.4,"Fremont, CA
+1 location","Fremont, CA"
Software Engineer,software engineer,Estimated $85.4K - $108K a year,"NetScout Systems, Inc","netscout systems, inc",3.7,"Westford, MA
+1 location","Westford, MA"
Software Engineer,software engineer,Estimated $86.7K - $110K a year,EnterMedicare,entermedicare,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $106K - $134K a year,Serengeti Systems,serengeti systems,NaN,"Austin, TX 78701 
(Downtown area)","Austin, TX"
Database Integration Software Engineer (Entry Level),database integration software engineer (entry level),Estimated $87.5K - $111K a year,Apex Semiconductor,apex semiconductor,NaN,"Santa Clara, CA
+1 location","Santa Clara, CA"
Software Engineer I,software engineer i,Estimated $79.8K - $101K a year,IAM Robotics Inc,iam robotics inc,NaN,"Remote in Pittsburgh, PA 15201",remote
Software Engineer,software engineer,NaN,Karagozian & Case,karagozian & case,NaN,"Glendale, CA 91203 
(Glendale area)","Glendale, CA"
"Senior Software Engineer I, Design Systems","senior software engineer i, design systems",NaN,Etsy,etsy,4.3,"Remote in Brooklyn, NY 11201
+7 locations",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Associate Software Engineer,associate software engineer,Estimated $84K - $106K a year,Ascensus,ascensus,NaN,"Remote in Massachusetts
+5 locations",remote
Fullstack Software Engineer (L5) - Resilience Engineering,fullstack software engineer (l5) - resilience engineering,Estimated $122K - $155K a year,Netflix,netflix,3.9,"+1 location
Remote",remote
Software Engineer,software engineer,Estimated $83.2K - $105K a year,Argonne National Laboratory,argonne national laboratory,4.3,"Lemont, IL 60439
+3 locations","Lemont, IL"
Software Process Engineer,software process engineer,NaN,The Aerospace Corporation,the aerospace corporation,3.9,"El Segundo, CA","El Segundo, CA"
Software Engineer,software engineer,NaN,GrayMatter Consulting Services,graymatter consulting services,NaN,"Alpharetta, GA 30004","Alpharetta, GA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $97.3K - $123K a year,MathWorks,mathworks,4.1,"Hybrid remote in Natick, MA 01760
+2 locations","Hybrid remote in Natick, MA 01760
+2 locations"
"OPT , CPT and H1 hiring","opt , cpt and h1 hiring",NaN,TechStream Solutions Inc,techstream solutions inc,NaN,Remote,remote
Software Engineer II,software engineer ii,NaN,Jolt Hire,jolt hire,NaN,"Hamel, MN 55340","Hamel, MN"
Software Developer (Full-Time),software developer (full-time),NaN,Patch & Sparks,patch & sparks,NaN,Remote,remote
Junior Software Engineer,junior software engineer,NaN,"AMAG Technology, An Allied Universal® Company","amag technology, an allied universal� company",3.2,"Chelmsford, MA 01824","Chelmsford, MA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Associate Software Engineer,associate software engineer,Estimated $81.6K - $103K a year,Veeva Systems,veeva systems,3.7,"Hybrid remote in Raleigh, NC
+8 locations","Hybrid remote in Raleigh, NC
+8 locations"
Software Development Engineer Test,software development engineer test,Estimated $114K - $145K a year,PayPal,paypal,3.9,"Scottsdale, AZ
+2 locations","Scottsdale, AZ"
SOFTWARE ENGINEER,software engineer,Estimated $67.5K - $85.4K a year,RocketVox,rocketvox,NaN,"Birmingham, AL","Birmingham, AL"
VIE - Junior Software Developer - Investment Technology,vie - junior software developer - investment technology,Estimated $79.9K - $101K a year,AXA Funds Management,axa funds management,3.9,"Orinda, CA","Orinda, CA"
Front-end Software Engineer,front-end software engineer,Estimated $111K - $140K a year,RoundingWell,roundingwell,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Jr. Software Engineer,jr. software engineer,Estimated $107K - $136K a year,PMAT,pmat,NaN,"San Diego, CA 92111","San Diego, CA"
Junior Backend Engineer,junior backend engineer,NaN,Tablet Hotels - The Hotel Experts at MICHELIN,tablet hotels - the hotel experts at michelin,NaN,"New York, NY 10007 
(Financial District area)","New York, NY"
Software Engineer - Back-End,software engineer - back-end,NaN,Lowe's,lowe's,3.5,"Charlotte, NC 28203 
(Wilmore area)","Charlotte, NC"
Software Engineer I,software engineer i,Estimated $79K - $100K a year,Netanomics,netanomics,NaN,"Remote in Pittsburgh, PA",remote
Software Engineer,software engineer,Estimated $94.5K - $120K a year,Raisely,raisely,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Front End Software Engineer,front end software engineer,NaN,Orion Advisor Solutions,orion advisor solutions,3,"Remote in Omaha, NE",remote
Software Engineer,software engineer,NaN,IT Ideology,it ideology,NaN,"Cranbury, NJ 08512
+1 location","Cranbury, NJ"
Junior Software Back End Developer,junior software back end developer,Estimated $62K - $78.5K a year,Spectrum Communications & Consulting Inc.,spectrum communications & consulting inc.,4,"Hybrid remote in Chicago, IL","Hybrid remote in Chicago, IL"
Software Engineer I,software engineer i,NaN,"Vuori, Inc","vuori, inc",3.1,"Carlsbad, CA 92008 
(North Beach area)
+1 location","Carlsbad, CA"
Front End Developer,front end developer,NaN,University of South Florida,university of south florida,4.1,"Remote in Tampa, FL 33620",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer, Platform","software engineer, platform",NaN,EARTHMOVER,earthmover,NaN,"New York, NY","New York, NY"
Principal Software Engineer,principal software engineer,NaN,Texas A&M University,texas a&m university,4.3,"College Station, TX 77845","College Station, TX"
Junior Software Development Engineer in Test (SDET) - Monetization Technology/Ads Engineering,junior software development engineer in test (sdet) - monetization technology/ads engineering,NaN,TikTok,tiktok,3.5,"San Jose, CA
+27 locations","San Jose, CA"
Software Engineer I,software engineer i,Estimated $60.2K - $76.2K a year,Genesys Aerosystems,genesys aerosystems,3.3,"Mineral Wells, TX 76067","Mineral Wells, TX"
Full Stack Software Engineer,full stack software engineer,Estimated $79.9K - $101K a year,Oak Ridge National Laboratory,oak ridge national laboratory,4.2,"Oak Ridge, TN 37830
+2 locations","Oak Ridge, TN"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Associate A/AI Embedded Software Engineer - Level 1,associate a/ai embedded software engineer - level 1,Estimated $73.5K - $93.1K a year,Sikorsky Aircraft Corporation,sikorsky aircraft corporation,4,"Vineyard, UT
+19 locations","Vineyard, UT"
Full-Stack Software Engineer,full-stack software engineer,Estimated $131K - $166K a year,Syrup,syrup,3.7,"Remote in New York, NY 10013",remote
Software Developer,software developer,Estimated $89.4K - $113K a year,Rampiva,rampiva,NaN,Remote,remote
Software and Data Junior Engineer,software and data junior engineer,Estimated $62.8K - $79.5K a year,MIT,mit,4.2,"Cambridge, MA 02139 
(MIT area)","Cambridge, MA"
SOFTWARE ENGINEER,software engineer,Estimated $78.7K - $99.6K a year,Weatherford,weatherford,3.9,"Houston, TX 77041
+1 location","Houston, TX"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Systems Software Engineer,systems software engineer,NaN,Northwestern Mutual,northwestern mutual,3.8,"Milwaukee, WI","Milwaukee, WI"
Software Engineer,software engineer,Estimated $96.1K - $122K a year,First Orion,first orion,4.3,"North Little Rock, AR","North Little Rock, AR"
Software Engineer,software engineer,Estimated $107K - $136K a year,Altair Engineering,altair engineering,4.2,"Remote in Troy, MI",remote
Software Engineer,software engineer,Estimated $90.6K - $115K a year,Panic Button,panic button,NaN,"Austin, TX
+1 location","Austin, TX"
Full Stack Java,full stack java,NaN,Fuge Technologies Inc,fuge technologies inc,NaN,"+1 location
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Entry Level Full Stack Developer,entry level full stack developer,NaN,BeaconFire Solution,beaconfire solution,4.8,"Remote in East Windsor, NJ 08512",remote
Founding Software Engineer,founding software engineer,NaN,Tephra Labs,tephra labs,NaN,"New York, NY","New York, NY"
Graduate C++ Software Engineer I,graduate c++ software engineer i,NaN,"ESRI, Inc.","esri, inc.",3.8,"Redlands, CA 92373
+6 locations","Redlands, CA"
Gameplay Programmer,gameplay programmer,NaN,Easy Games,easy games,NaN,Remote,remote
Software Engineer,software engineer,Estimated $79.3K - $100K a year,Amrock,amrock,3.4,"Detroit, MI 48226 
(Downtown area)","Detroit, MI"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Junior Software Developer - Remote,junior software developer - remote,Estimated $52.3K - $66.2K a year,"Agile5 Technologies, Inc.","agile5 technologies, inc.",NaN,"Remote in Fairmont, WV 26554",remote
Front End Software Engineer,front end software engineer,NaN,DocuSign,docusign,3.7,"San Francisco, CA 94105 
(Financial District/South Beach area)
+3 locations","San Francisco, CA"
Software Engineer,software engineer,NaN,Itron,itron,3.7,"Hybrid remote in Liberty Lake, WA 99019","Hybrid remote in Liberty Lake, WA 99019"
Software Engineer,software engineer,Estimated $84.4K - $107K a year,Huntington Bank,huntington bank,3.5,"Columbus, OH 43219 
(Easton area)
+2 locations","Columbus, OH"
Node Developer,node developer,Estimated $97.9K - $124K a year,"Perficient, Inc","perficient, inc",3.4,"+4 locations
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Java Software Engineer,java software engineer,NaN,Intelon Optics,intelon optics,NaN,Remote,remote
Software Engineer,software engineer,Estimated $91.3K - $116K a year,Palni,palni,4,"McKinney, TX 75070
+1 location","McKinney, TX"
Junior C++ Developer,junior c++ developer,NaN,GTS,gts,3.6,"New York, NY 10022 
(Midtown area)
+1 location","New York, NY"
Junior/Mid-Level Front-End Software Engineer,junior/mid-level front-end software engineer,NaN,University of Maryland,university of maryland,4.1,"Remote in College Park, MD 20742
+1 location",remote
Junior Programmer,junior programmer,NaN,"KatHawk Studios, LLC","kathawk studios, llc",NaN,"Hybrid remote in Sugar Land, TX 77479","Hybrid remote in Sugar Land, TX 77479"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer 1 - Machine Learning,software engineer 1 - machine learning,Estimated $108K - $137K a year,Abacus.AI,abacus.ai,NaN,"San Francisco, CA","San Francisco, CA"
Backend Software Engineer,backend software engineer,NaN,Kensho,kensho,NaN,"Cambridge, MA
+3 locations","Cambridge, MA"
Front-End Engineer,front-end engineer,Estimated $84.1K - $106K a year,Nebo Agency,nebo agency,NaN,"Hybrid remote in Atlanta, GA 30310","Hybrid remote in Atlanta, GA 30310"
Software Engineer,software engineer,Estimated $87.3K - $111K a year,JLL,jll,3.7,"Denver, CO 80202 
(Union Station area)","Denver, CO"
Software Engineer (Remote),software engineer (remote),NaN,Lincoln Financial,lincoln financial,3.5,"Remote in Dover, NH",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Associate Software Engineer I,associate software engineer i,Estimated $62.2K - $78.8K a year,BlueCross BlueShield of Tennessee,bluecross blueshield of tennessee,3.9,"Chattanooga, TN 37402 
(Westside area)
+2 locations","Chattanooga, TN"
Software Engineer,software engineer,NaN,Anywhere Real Estate,anywhere real estate,NaN,"Remote in Madison, NJ
+4 locations",remote
Backend Engineer,backend engineer,NaN,"JPMorgan Chase Bank, N.A.","jpmorgan chase bank, n.a.",3.8,"New York, NY
+5 locations","New York, NY"
"Software Engineer (HTML, CSS, JS, Python, Django)","software engineer (html, css, js, python, django)",Estimated $93.1K - $118K a year,BringFido,bringfido,4.3,Remote,remote
Software Developers (Junior Positions),software developers (junior positions),Estimated $71.4K - $90.4K a year,GPS IT Solutions,gps it solutions,NaN,"Tuscaloosa, AL 35404 
(Greater Alberta area)
+1 location","Tuscaloosa, AL"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Senior Software Development Engineer,senior software development engineer,NaN,Adobe,adobe,4.3,"Lehi, UT 84043
+4 locations","Lehi, UT"
Software Systems Engineer,software systems engineer,NaN,Apple,apple,4.1,"Cupertino, CA
+15 locations","Cupertino, CA"
Software Engineer,software engineer,Estimated $122K - $154K a year,Baidu USA,baidu usa,3.7,"Sunnyvale, CA 94089 
(Lakewood area)
+2 locations","Sunnyvale, CA"
Software Developer,software developer,NaN,vMOX,vmox,3.3,Remote,remote
Robotics Software Engineer 1,robotics software engineer 1,Estimated $77.7K - $98.4K a year,"Applied Research Associates, Inc","applied research associates, inc",4.1,"Randolph, VT 05060","Randolph, VT"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Full Stack Engineer
new","full stack engineer
new",Estimated $118K - $149K a year,Fidelity TalentSource,fidelity talentsource,3.7,"Durham, NC 27709
+6 locations","Durham, NC"
Real Time Software Engineer 3,real time software engineer 3,Estimated $110K - $140K a year,"PDS Tech Commercial, Inc.","pds tech commercial, inc.",3.9,"Hazelwood, MO 63042
+4 locations","Hazelwood, MO"
Software Engineer,software engineer,NaN,Microsoft,microsoft,4.2,"Redmond, WA 98052 
(Overlake area)
+2 locations","Redmond, WA"
"Software Engineer, Core Engineering Technologies","software engineer, core engineering technologies",Estimated $98K - $124K a year,Tesla,tesla,3.4,"Sparks, NV 89434
+90 locations","Sparks, NV"
Support Engineer (Remote),support engineer (remote),Estimated $59K - $74.7K a year,Dynata,dynata,3,"Remote in Atlanta, GA",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Entry Level Software Engineer,entry level software engineer,NaN,RFA Engineering,rfa engineering,4,"Des Moines, IA
+4 locations","Des Moines, IA"
Backend Software Engineer,backend software engineer,NaN,Kensho,kensho,NaN,"+3 locations
Remote",remote
Instructor / Software Engineer,instructor / software engineer,NaN,Rithm School,rithm school,NaN,Remote,remote
Computer Programmer,computer programmer,NaN,Niagara Falls City School District,niagara falls city school district,NaN,"Niagara Falls, NY 14304","Niagara Falls, NY"
"Software Development Senior Advisor - SECRET - Springfield, VA","software development senior advisor - secret - springfield, va",Estimated $118K - $150K a year,General Dynamics Information Technology,general dynamics information technology,3.7,"Springfield, VA 22161","Springfield, VA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Applications Programmer,applications programmer,NaN,Cybrex LLC,cybrex llc,NaN,"Norfolk, VA 23510","Norfolk, VA"
Junior Developer,junior developer,NaN,"Restore Hope, Inc.","restore hope, inc.",NaN,"Remote in Little Rock, AR",remote
"Full-stack engineer, front-end focused (Remote)","full-stack engineer, front-end focused (remote)",NaN,Lumen Energy,lumen energy,NaN,Remote,remote
Training and placement on Java,training and placement on java,NaN,"TechIntelli Solutions, Inc.","techintelli solutions, inc.",5,"Dallas, TX 75204 
(Deep Ellum area)","Dallas, TX"
Full Stack Software Engineer,full stack software engineer,Estimated $101K - $128K a year,Workiva,workiva,4.1,"+1 location
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Developer - Connected Vehicles,software developer - connected vehicles,NaN,Trihydro Corporation,trihydro corporation,3.9,"Remote in Laramie, WY 82051",remote
"Research Software Engineer, Data Science","research software engineer, data science",NaN,Dana-Farber Cancer Institute,dana-farber cancer institute,4.1,"Remote in Boston, MA 02215",remote
Junior Programmer,junior programmer,Estimated $65.9K - $83.5K a year,Practical Software Solutions,practical software solutions,3.3,"Concord, NC 28025","Concord, NC"
Software Engr I,software engr i,Estimated $74.6K - $94.4K a year,Honeywell,honeywell,3.7,"Phoenix, AZ 85027 
(Deer Valley area)","Phoenix, AZ"
Entry-Level Software Developer,entry-level software developer,Estimated $59K - $74.7K a year,"/n software, Inc.","/n software, inc.",NaN,"Chapel Hill, NC","Chapel Hill, NC"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Amazon Robotics - Software Development Engineer (SDE) Co-op - Fall 2023,amazon robotics - software development engineer (sde) co-op - fall 2023,Estimated $104K - $131K a year,Amazon.com Services LLC,amazon.com services llc,3.5,"North Reading, MA 01864
+1 location","North Reading, MA"
Software Support Engineer,software support engineer,NaN,Stratus,stratus,3,"Irving, TX 75038 
(Cottonwood area)","Irving, TX"
"Software Engineer, Front-End","software engineer, front-end",Estimated $100K - $127K a year,Skillable,skillable,NaN,Remote,remote
Lead RPA Developer,lead rpa developer,NaN,Robert Half,robert half,3.9,"Bridgeton, MO 63044
+1 location","Bridgeton, MO"
Software Engineer,software engineer,Estimated $80.5K - $102K a year,CATTS,catts,4,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $82.3K - $104K a year,Vevey Software Solutions,vevey software solutions,NaN,"Tampa, FL 33647","Tampa, FL"
Software Engineer II,software engineer ii,NaN,Principal Financial Group,principal financial group,3.9,"Remote in Des Moines, IA 50392
+2 locations",remote
Front-end Engineer,front-end engineer,Estimated $120K - $152K a year,a Portfolio company of the AI2 Incubator,a portfolio company of the ai2 incubator,NaN,"Remote in Seattle, WA",remote
Software Development Engineer,software development engineer,NaN,"Tecpot, Inc.","tecpot, inc.",NaN,"Hybrid remote in Bellevue, WA 98006","Hybrid remote in Bellevue, WA 98006"
Software Development Engineer,software development engineer,NaN,KBR,kbr,4.1,"Point Mugu, CA
+10 locations","Point Mugu, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $97.8K - $124K a year,Humulo Engineering,humulo engineering,NaN,Remote,remote
Software Engineer for Climate Tech Startup,software engineer for climate tech startup,Estimated $120K - $152K a year,"Tangible Materials, Inc.","tangible materials, inc.",NaN,"Remote in San Francisco, CA",remote
Software QA Engineer,software qa engineer,NaN,Ford Motor Company,ford motor company,4.1,"Allen Park, MI","Allen Park, MI"
Software Engineer I,software engineer i,Estimated $89.4K - $113K a year,Technology Service Corporation,technology service corporation,4.4,"Silver Spring, MD 20910
+3 locations","Silver Spring, MD"
Frontend Engineer (ReactJS),frontend engineer (reactjs),Estimated $68.4K - $86.6K a year,Scalio,scalio,NaN,"+1 location
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $89.5K - $113K a year,Givelify,givelify,4.5,"Remote in Dallas, TX",remote
Software Engineer,software engineer,NaN,Reorg Research,reorg research,NaN,Remote,remote
Software Engineer,software engineer,NaN,Kitcheck,kitcheck,NaN,Remote,remote
"Software Config and Release Engineer, Safari & WebKit","software config and release engineer, safari & webkit",NaN,Apple,apple,4.1,"San Diego, CA
+4 locations","San Diego, CA"
Software Developer,software developer,NaN,Barclays,barclays,3.9,"New York, NY 10019 
(Midtown area)
+2 locations","New York, NY"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Hardware/Software Engineer - Entry,hardware/software engineer - entry,NaN,TE Connectivity,te connectivity,3.7,"Harrisburg, PA 17111","Harrisburg, PA"
Software Engineer - All Levels,software engineer - all levels,Estimated $109K - $138K a year,Silver Edge,silver edge,NaN,"Chantilly, VA
+21 locations","Chantilly, VA"
Staff Software Engineer - Cash Databases,staff software engineer - cash databases,Estimated $127K - $160K a year,Cash App,cash app,4,"Remote in San Francisco, CA
+2 locations",remote
Shopify Frontend Theme Engineer,shopify frontend theme engineer,NaN,Universal Music Group,universal music group,4,"Philadelphia, PA","Philadelphia, PA"
Software Developers,software developers,Estimated $96.4K - $122K a year,Genisys Technologies,genisys technologies,NaN,"Plymouth, MN 55447","Plymouth, MN"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"MQ-25 VMS Real-Time Embedded Software Engineer
new","mq-25 vms real-time embedded software engineer
new",Estimated $94.2K - $119K a year,BOEING,boeing,3.9,"Hybrid remote in Hazelwood, MO 63042
+37 locations","Hybrid remote in Hazelwood, MO 63042
+37 locations"
"Full Stack Web Developer
new","full stack web developer
new",NaN,East Carolina University,east carolina university,NaN,"Greenville, NC 27858","Greenville, NC"
Software Test Engineer,software test engineer,NaN,"Total Computing Solutions of America, Inc.","total computing solutions of america, inc.",NaN,"The Colony, TX","The Colony, TX"
Senior Full Stack Backend Software Engineer,senior full stack backend software engineer,NaN,PEAR Health Labs,pear health labs,NaN,Remote,remote
"Backend Engineer
new","backend engineer
new",NaN,Career Movement,career movement,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $93.8K - $119K a year,H&R Block,h&r block,4.1,"Kansas City, MO 64105 
(CBD Downtown area)
+4 locations","Kansas City, MO"
Software QA Engineer,software qa engineer,NaN,ServiceNow,servicenow,3.7,"Remote in San Diego, CA 92121
+4 locations",remote
Software Engineer,software engineer,Estimated $114K - $144K a year,Boston Consulting Group,boston consulting group,4.2,"Boston, MA 02109 
(Downtown area)
+2 locations","Boston, MA"
Senior Software Engineer,senior software engineer,NaN,Truss,truss,NaN,Remote,remote
"Motion Planning Software Engineer, Autonomy","motion planning software engineer, autonomy",Estimated $106K - $135K a year,Tesla,tesla,3.4,"Palo Alto, CA","Palo Alto, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Sr. Engineer Software Developer,sr. engineer software developer,NaN,Anywhere Real Estate,anywhere real estate,NaN,"Remote in Danbury, CT
+3 locations",remote
Software Engineer,software engineer,NaN,ObvioHealth,obviohealth,NaN,Remote,remote
VR/AR Software Engineer,vr/ar software engineer,Estimated $115K - $146K a year,Three Space Lab,three space lab,NaN,"Remote in Cambridge, MA",remote
Software Engineer,software engineer,Estimated $86.8K - $110K a year,PunchListUSA,punchlistusa,NaN,"Remote in Charleston, SC
+1 location",remote
Junior Software Engineer,junior software engineer,NaN,DeNOVO Solutions,denovo solutions,NaN,"Aurora, CO 80011 
(Norfolk Glen area)","Aurora, CO"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,Professional Workers Comp,professional workers comp,NaN,"Torrance, CA 90501 
(Tradewinds Complex area)","Torrance, CA"
Embedded Software Engineer,embedded software engineer,NaN,APR Consulting Inc,apr consulting inc,4.1,"Plymouth, MN 55442
+6 locations","Plymouth, MN"
DevOps Engineer,devops engineer,NaN,Robert Half,robert half,3.9,"Shelton, CT 06484
+4 locations","Shelton, CT"
Senior (React/.NET Core) Full-Stack Engineer,senior (react/.net core) full-stack engineer,NaN,Strategic Employment,strategic employment,NaN,"+3 locations
Remote",remote
"Software Engineer, Search Relevance","software engineer, search relevance",NaN,Moveworks,moveworks,4.2,"Mountain View, CA","Mountain View, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
SAP ABAP Software Engineer,sap abap software engineer,NaN,INTEL,intel,4.1,"Hybrid remote in Phoenix, AZ","Hybrid remote in Phoenix, AZ"
"Junior Software Engineer - Austin, TX","junior software engineer - austin, tx",Estimated $69.6K - $88.2K a year,Tiff's Treats,tiff's treats,3.4,"Austin, TX 78731","Austin, TX"
Software Engineer (Voice),software engineer (voice),NaN,Ada Inc.,ada inc.,NaN,"+1 location
Remote",remote
