title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
Jr. Software Developer,jr. software developer,NaN,Workforce Opportunity Services,workforce opportunity services,3.5,"Dallas, TX
+1 location","Dallas, TX"
Associate Software Engineer,associate software engineer,NaN,Ancestry,ancestry,3.8,"Lehi, UT 84043
+1 location","Lehi, UT"
Junior Software Engineer,junior software engineer,NaN,"SoundThinking, Inc.","soundthinking, inc.",3,"Remote in Fremont, CA 94538
+1 location",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer
new","software engineer
new",NaN,Oneida Research Services,oneida research services,NaN,"Whitesboro, NY 13492","Whitesboro, NY"
Telematics Software Engineer,telematics software engineer,Estimated $54.9K - $69.5K a year,The Raymond Corporation,the raymond corporation,3.3,"Greene, NY 13778
+1 location","Greene, NY"
Senior Software Engineer,senior software engineer,NaN,Science,science,NaN,"Durham, NC 27703
+1 location","Durham, NC"
Software Engineer,software engineer,NaN,Nexio,nexio,NaN,"Orem, UT","Orem, UT"
Software Developer,software developer,NaN,Gas Pos,gas pos,NaN,"North Little Rock, AR 72114","North Little Rock, AR"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer I
new","software engineer i
new",NaN,Nomad GCS,nomad gcs,NaN,"Columbia Falls, MT 59912","Columbia Falls, MT"
Software Engineer,software engineer,NaN,National Security Agency,national security agency,4.1,"Fort Meade, MD","Fort Meade, MD"
Associate/ Engineer Software,associate/ engineer software,NaN,Northrop Grumman,northrop grumman,4,"Beavercreek, OH 45430
+1 location","Beavercreek, OH"
Software Engineer (Golang),software engineer (golang),NaN,Comcast,comcast,3.6,"Englewood, CO 80112
+12 locations","Englewood, CO"
"Applied Behavioral Science Junior Machine Learning Engineer (Remote - Home Based Worker)
new","applied behavioral science junior machine learning engineer (remote - home based worker)
new",NaN,Allstate,allstate,3.7,"Remote in Chicago, IL",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Full Stack Engineer,full stack engineer,NaN,Health Data Analytics Institute,health data analytics institute,4.8,"Hybrid remote in Dedham, MA 02026
+1 location","Hybrid remote in Dedham, MA 02026
+1 location"
"React/Node Engineer
new","react/node engineer
new",NaN,Strategic Employment,strategic employment,NaN,"Santa Monica, CA 90401
+1 location","Santa Monica, CA"
"Entry-Level Software Engineer
new","entry-level software engineer
new",NaN,BOEING,boeing,3.9,"Berkeley, MO 63134
+2 locations","Berkeley, MO"
"Software Engineer, Fullstack","software engineer, fullstack",NaN,Pinterest,pinterest,4.1,Remote,remote
React/Java Engineer,react/java engineer,Estimated $110K - $139K a year,Oddball,oddball,NaN,"+1 location
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Senior Software Engineer - Cloud
new","senior software engineer - cloud
new",NaN,Finfare,finfare,NaN,"Irvine, CA 92618","Irvine, CA"
Junior Software Developer,junior software developer,NaN,"EagleForce Associates, Inc.","eagleforce associates, inc.",1,"Herndon, VA 20171","Herndon, VA"
"Microsoft Power Platform Developer
new","microsoft power platform developer
new",Estimated $77.4K - $98K a year,Bigge Crane and Rigging,bigge crane and rigging,3,"Hybrid remote in Houston, TX 77053","Hybrid remote in Houston, TX 77053"
Sr. Software Engineer - IPT Lead - Navigation & Sensors,sr. software engineer - ipt lead - navigation & sensors,Estimated $110K - $139K a year,BAE Systems,bae systems,3.8,"Cedar Rapids, IA 52404
+26 locations","Cedar Rapids, IA"
Comcast Cybersecurity: Java Engineer 2,comcast cybersecurity: java engineer 2,NaN,Comcast,comcast,3.6,"Philadelphia, PA 19103","Philadelphia, PA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Development Engineer I,software development engineer i,NaN,GM Financial,gm financial,3.6,"Remote in Arlington, TX 76014",remote
Software Engineer (Part-Time),software engineer (part-time),NaN,Longevity Holdings Inc.,longevity holdings inc.,4.3,"Hybrid remote in Minneapolis, MN 55402","Hybrid remote in Minneapolis, MN 55402"
Customer Deployment Engineer,customer deployment engineer,NaN,Adobe,adobe,4.3,"Lehi, UT 84043","Lehi, UT"
Software Engineer,software engineer,NaN,Nike,nike,4.1,"Beaverton, OR
+4 locations","Beaverton, OR"
Junior Software Engineer,junior software engineer,NaN,"Ventrilo.ai, Inc.","ventrilo.ai, inc.",NaN,"Menlo Park, CA","Menlo Park, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Sr. Automation Test Engineer,sr. automation test engineer,NaN,SIF,sif,3.1,"Boise, ID 83702 
(Downtown area)","Boise, ID"
Software Engineer (100% Remote),software engineer (100% remote),NaN,EZRecruit,ezrecruit,NaN,"Remote in New York, NY
+1 location",remote
Part Time Javascript Front-End Developer,part time javascript front-end developer,Estimated $78.8K - $99.8K a year,FRUITION,fruition,4.1,"Remote in Denver, CO 80218",remote
"MS Dynamics Solutions Developer
new","ms dynamics solutions developer
new",NaN,PangeaTwo,pangeatwo,3.6,"Birmingham, AL 35205","Birmingham, AL"
Junior Software Engineer,junior software engineer,Estimated $72.6K - $91.9K a year,BAE Systems,bae systems,3.8,"Wayne, NJ 07470
+4 locations","Wayne, NJ"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
IPSi LLC Junior Programmer/Problem Solver- Will Train,ipsi llc junior programmer/problem solver- will train,NaN,Integrated Productivity Systems LLC,integrated productivity systems llc,NaN,"Lansdale, PA 19446","Lansdale, PA"
Software Engineer,software engineer,NaN,"Blacktop Omnimedia, LLC","blacktop omnimedia, llc",NaN,"Washington, DC","Washington, DC"
Mid Level Web Developer,mid level web developer,NaN,GOLDPoint Systems,goldpoint systems,NaN,"Provo, UT 84601 
(Rivergrove area)","Provo, UT"
